Input, avgRuntime, ecmin, best, worst, std
100 4 10, 5.74, 1092.60, 1086, 1098, 3.09
110 4 10, 6.71, 943.50, 939, 951, 3.41
120 4 10, 6.62, 1278.30, 1272, 1284, 3.46
130 4 10, 8.55, 1021.80, 1017, 1029, 2.79
140 4 10, 7.50, 2070.50, 2067, 2076, 2.62
150 4 10, 9.43, 1573.80, 1566, 1587, 4.13
160 4 10, 10.50, 1511.20, 1506, 1518, 3.04
170 4 10, 10.81, 1919.70, 1911, 1929, 4.33
180 4 10, 13.03, 1478.00, 1473, 1485, 3.80
190 4 10, 12.29, 2484.70, 2478, 2496, 4.96
100 4 15, 5.20, 994.40, 987, 999, 3.58
110 4 15, 6.80, 909.20, 900, 921, 4.45
120 4 15, 7.07, 918.70, 912, 927, 3.66
130 4 15, 7.92, 1122.40, 1116, 1128, 3.58
140 4 15, 8.93, 1293.90, 1287, 1299, 3.06
150 4 15, 9.43, 1375.30, 1368, 1383, 4.57
160 4 15, 11.61, 1384.70, 1377, 1395, 4.90
170 4 15, 12.99, 1348.30, 1338, 1356, 5.20
180 4 15, 14.23, 1507.40, 1494, 1518, 5.55
190 4 15, 15.32, 1755.40, 1749, 1761, 3.58
100 4 20, 6.41, 647.80, 642, 654, 3.04
110 4 20, 8.33, 794.30, 786, 801, 4.14
120 4 20, 9.25, 814.20, 807, 819, 2.90
130 4 20, 10.58, 980.30, 972, 990, 3.75
140 4 20, 10.67, 910.80, 900, 921, 5.08
150 4 20, 12.87, 1040.20, 1035, 1047, 3.14
160 4 20, 15.73, 1099.20, 1092, 1104, 3.90
170 4 20, 16.80, 1116.60, 1110, 1125, 4.27
180 4 20, 19.24, 1230.50, 1221, 1236, 3.86
190 4 20, 19.34, 1238.90, 1233, 1245, 3.81
