Input, avgRuntime, ecmin, best, worst, std
100 4 10, 7.26, 691.80, 687, 699, 3.00
110 4 10, 7.92, 863.60, 858, 873, 3.91
120 4 10, 10.13, 813.20, 807, 819, 3.33
130 4 10, 11.67, 871.60, 864, 879, 3.83
140 4 10, 14.89, 942.70, 936, 951, 3.11
150 4 10, 20.39, 1048.10, 1038, 1056, 4.34
160 4 10, 22.57, 1083.00, 1077, 1089, 3.69
170 4 10, 31.56, 1106.80, 1098, 1116, 4.65
180 4 10, 32.14, 1171.60, 1161, 1179, 3.99
190 4 10, 25.12, 1280.70, 1275, 1287, 3.88
100 4 15, 10.96, 512.60, 510, 516, 1.71
110 4 15, 11.54, 545.50, 537, 552, 3.61
120 4 15, 14.51, 579.30, 573, 585, 2.98
130 4 15, 16.11, 640.60, 636, 648, 2.45
140 4 15, 24.35, 689.80, 684, 693, 2.60
150 4 15, 31.62, 762.70, 759, 768, 2.18
160 4 15, 31.14, 801.20, 798, 807, 2.83
170 4 15, 51.37, 811.90, 804, 819, 3.38
180 4 15, 52.44, 887.60, 882, 894, 2.91
190 4 15, 40.38, 958.10, 951, 966, 3.56
100 4 20, 13.07, 415.20, 411, 423, 2.56
110 4 20, 15.30, 479.70, 477, 486, 2.76
120 4 20, 19.39, 480.50, 477, 486, 2.62
130 4 20, 24.13, 552.20, 549, 555, 1.74
140 4 20, 31.62, 624.70, 618, 633, 2.80
150 4 20, 44.78, 620.40, 615, 627, 3.72
160 4 20, 40.55, 696.20, 690, 702, 2.83
170 4 20, 69.71, 691.70, 684, 699, 3.83
180 4 20, 71.94, 762.90, 762, 768, 1.60
190 4 20, 53.94, 824.00, 816, 831, 3.08
