Input, avgRuntime, ecmin, best, worst, std
100 4 10, 4.78, 1102.80, 1095, 1107, .3200
110 4 10, 5.03, 958.40, 948, 966, .4500
120 4 10, 5.55, 1286.00, 1281, 1290, .1500
130 4 10, 7.34, 1025.90, 1020, 1032, .2800
140 4 10, 6.60, 2083.80, 2076, 2091, .1900
150 4 10, 8.15, 1584.50, 1578, 1587, .1300
160 4 10, 8.49, 1531.80, 1524, 1542, .2500
170 4 10, 8.91, 1927.00, 1923, 1932, .1100
180 4 10, 10.54, 1491.70, 1485, 1503, .2700
190 4 10, 9.93, 2496.00, 2484, 2502, .1600
100 4 15, 4.32, 1001.10, 993, 1005, .3500
110 4 15, 5.24, 919.80, 909, 924, .3700
120 4 15, 5.85, 928.90, 924, 936, .3900
130 4 15, 6.07, 1131.70, 1122, 1140, .3900
140 4 15, 7.64, 1305.80, 1293, 1311, .3000
150 4 15, 7.87, 1381.10, 1377, 1386, .1600
160 4 15, 9.68, 1401.30, 1395, 1407, .2400
170 4 15, 10.49, 1360.40, 1350, 1368, .3600
180 4 15, 11.60, 1517.50, 1506, 1527, .2800
190 4 15, 12.23, 1767.40, 1761, 1773, .1900
100 4 20, 5.70, 649.20, 642, 654, .3900
110 4 20, 6.20, 807.80, 801, 816, .4900
120 4 20, 7.75, 820.20, 813, 825, .2900
130 4 20, 9.27, 995.90, 990, 1002, .3900
140 4 20, 9.41, 921.60, 915, 927, .3600
150 4 20, 10.93, 1057.20, 1050, 1065, .3300
160 4 20, 11.99, 1112.00, 1107, 1116, .1900
170 4 20, 13.22, 1127.10, 1122, 1134, .2600
180 4 20, 14.25, 1241.40, 1236, 1248, .2400
190 4 20, 15.12, 1248.80, 1245, 1257, .2300
