Input, avgRuntime, ecmin, best, worst, std
100 4 10, 5.43, 697.00, 693, 702, .3600
110 4 10, 6.21, 876.60, 870, 885, .3700
120 4 10, 7.36, 820.10, 813, 825, .3600
130 4 10, 8.39, 881.10, 876, 888, .4100
140 4 10, 9.51, 957.90, 951, 963, .2700
150 4 10, 10.33, 1057.00, 1050, 1068, .4200
160 4 10, 11.71, 1096.20, 1086, 1104, .3300
170 4 10, 12.90, 1123.10, 1110, 1131, .4100
180 4 10, 13.33, 1185.30, 1179, 1188, .1900
190 4 10, 15.95, 1298.70, 1290, 1305, .3100
100 4 15, 8.59, 516.30, 513, 519, .4100
110 4 15, 8.72, 551.50, 546, 555, .4500
120 4 15, 10.54, 584.80, 582, 588, .2900
130 4 15, 11.95, 638.30, 633, 642, .4000
140 4 15, 13.23, 701.00, 696, 705, .3200
150 4 15, 15.75, 772.00, 768, 777, .3500
160 4 15, 16.21, 804.50, 795, 807, .3500
170 4 15, 18.67, 819.10, 813, 822, .2700
180 4 15, 20.46, 897.80, 888, 903, .4000
190 4 15, 23.74, 967.30, 960, 972, .3300
100 4 20, 10.47, 420.90, 414, 426, .7000
110 4 20, 12.01, 485.50, 480, 492, .5300
120 4 20, 14.41, 491.30, 486, 495, .6500
130 4 20, 17.17, 554.10, 549, 558, .3700
140 4 20, 17.37, 632.50, 627, 636, .4100
150 4 20, 20.69, 633.30, 624, 642, .7100
160 4 20, 22.31, 702.20, 696, 708, .4000
170 4 20, 24.86, 704.40, 699, 711, .4300
180 4 20, 33.76, 765.20, 765, 768, .0900
190 4 20, 31.39, 839.80, 828, 846, .4900
