Input, avgRuntime, ecmin, best, worst, std
100 4 10, 4.06, 1098.80, 1092, 1107, .3000
110 4 10, 4.61, 953.10, 948, 960, .3500
120 4 10, 4.54, 1282.90, 1278, 1287, .2100
130 4 10, 6.11, 1026.30, 1023, 1029, .2200
140 4 10, 5.42, 2078.20, 2070, 2085, .1600
150 4 10, 6.84, 1582.90, 1575, 1590, .2300
160 4 10, 7.50, 1522.60, 1515, 1530, .2200
170 4 10, 7.26, 1929.10, 1923, 1935, .1400
180 4 10, 9.45, 1490.40, 1485, 1497, .1800
190 4 10, 8.63, 2497.90, 2487, 2505, .1900
100 4 15, 4.03, 999.80, 993, 1005, .3100
110 4 15, 4.82, 914.40, 909, 918, .2700
120 4 15, 5.19, 928.20, 921, 933, .3900
130 4 15, 6.03, 1132.60, 1122, 1140, .3200
140 4 15, 6.69, 1300.90, 1293, 1305, .2400
150 4 15, 6.77, 1388.50, 1380, 1395, .2500
160 4 15, 8.49, 1397.30, 1386, 1404, .3400
170 4 15, 9.06, 1363.00, 1353, 1374, .3500
180 4 15, 10.69, 1520.10, 1506, 1530, .3800
190 4 15, 10.77, 1768.60, 1761, 1776, .1900
100 4 20, 8.52, 652.00, 645, 654, .3400
110 4 20, 10.17, 801.80, 795, 807, .3300
120 4 20, 7.13, 820.60, 813, 825, .4600
130 4 20, 8.57, 989.70, 981, 996, .2800
140 4 20, 9.22, 920.70, 912, 927, .4500
150 4 20, 9.98, 1048.80, 1041, 1053, .3100
160 4 20, 10.72, 1111.40, 1101, 1122, .4100
170 4 20, 11.81, 1129.50, 1122, 1134, .2900
180 4 20, 13.31, 1249.30, 1242, 1257, .3300
190 4 20, 13.83, 1252.80, 1245, 1260, .3300
