Input, avgRuntime, ecmin, best, worst, std
100 4 10, 4.92, 697.40, 690, 702, .4000
110 4 10, 5.64, 873.20, 864, 879, .4100
120 4 10, 6.62, 822.70, 816, 831, .4100
130 4 10, 7.64, 878.60, 873, 885, .3500
140 4 10, 9.02, 950.20, 942, 957, .4300
150 4 10, 9.93, 1059.90, 1053, 1065, .3400
160 4 10, 12.07, 1095.60, 1089, 1104, .3600
170 4 10, 13.12, 1120.00, 1113, 1125, .3200
180 4 10, 14.33, 1181.60, 1173, 1188, .2900
190 4 10, 16.32, 1291.90, 1284, 1299, .2700
100 4 15, 6.95, 514.90, 513, 519, .3500
110 4 15, 8.17, 550.00, 546, 555, .4800
120 4 15, 9.45, 584.30, 579, 588, .5100
130 4 15, 10.49, 647.90, 642, 651, .3500
140 4 15, 12.49, 695.60, 690, 699, .3800
150 4 15, 14.12, 769.90, 765, 774, .2500
160 4 15, 15.81, 810.30, 804, 816, .3500
170 4 15, 18.06, 818.60, 813, 825, .3500
180 4 15, 19.71, 897.50, 891, 903, .3800
190 4 15, 22.85, 969.40, 963, 975, .3100
100 4 20, 9.65, 420.90, 417, 426, .5300
110 4 20, 10.48, 483.70, 480, 486, .4500
120 4 20, 12.47, 484.70, 480, 489, .5000
130 4 20, 15.66, 555.60, 549, 558, .4300
140 4 20, 16.59, 632.70, 627, 639, .3900
150 4 20, 20.49, 629.30, 621, 636, .5500
160 4 20, 21.18, 704.00, 696, 708, .3900
170 4 20, 25.41, 704.50, 696, 711, .5400
180 4 20, 30.44, 764.30, 762, 768, .1900
190 4 20, 29.84, 837.20, 831, 843, .3900
