Input, avgRuntime, ecmin, best, worst, std
100 4 10, 7.32, 1042.50, 1038, 1044, 1.71
150 4 10, 10.63, 1553.80, 1545, 1560, 3.68
200 4 10, 25.50, 2020.60, 2013, 2031, 4.96
250 4 10, 29.61, 2925.80, 2919, 2937, 4.38
300 4 10, 36.14, 3308.50, 3291, 3321, 6.87
350 4 10, 36.57, 3864.50, 3852, 3879, 7.68
400 4 10, 42.40, 4495.50, 4482, 4506, 7.33
450 4 10, 42.31, 5298.20, 5286, 5310, 6.63
500 4 10, 56.04, 6238.30, 6222, 6252, 7.07
100 4 15, 8.16, 851.50, 846, 855, 1.94
150 4 15, 10.83, 1534.50, 1527, 1545, 3.41
200 4 15, 27.48, 1685.40, 1680, 1692, 3.28
250 4 15, 41.34, 2160.20, 2148, 2175, 7.47
300 4 15, 43.92, 2561.80, 2550, 2574, 6.09
350 4 15, 53.47, 2794.40, 2781, 2805, 4.77
400 4 15, 57.88, 3424.90, 3414, 3438, 6.84
450 4 15, 81.27, 3870.00, 3849, 3888, 8.14
500 4 15, 109.17, 4357.90, 4347, 4371, 6.61
100 4 20, 8.67, 699.10, 696, 705, 2.99
150 4 20, 14.74, 883.90, 876, 894, 4.05
200 4 20, 38.67, 1387.40, 1380, 1398, 4.14
250 4 20, 62.01, 1671.70, 1659, 1683, 5.60
300 4 20, 60.44, 2018.50, 2004, 2028, 5.79
350 4 20, 66.23, 2251.60, 2244, 2262, 3.99
400 4 20, 88.73, 2542.40, 2523, 2553, 7.07
450 4 20, 122.66, 2906.10, 2898, 2919, 5.74
500 4 20, 229.19, 3244.90, 3231, 3261, 6.56
