Input, avgRuntime, ecmin, best, worst, std
100 4 10, 9.01, 851.80, 846, 858, 2.35
150 4 10, 16.90, 1565.60, 1557, 1575, 4.22
200 4 10, 24.03, 2453.50, 2442, 2463, 4.98
250 4 10, 20.58, 8120.30, 8112, 8130, 4.36
300 4 10, 19.29, 5442.40, 5430, 5454, 5.66
350 4 10, 22.38, 6191.90, 6183, 6204, 5.76
400 4 10, 40.44, 7280.90, 7266, 7293, 6.97
450 4 10, 58.84, 7680.30, 7662, 7695, 8.53
500 4 10, 72.14, 8296.90, 8283, 8307, 6.97
100 4 15, 7.21, 1077.60, 1077, 1080, 1.21
150 4 15, 12.77, 2376.50, 2373, 2379, 1.59
200 4 15, 20.16, 2514.60, 2505, 2526, 4.88
250 4 15, 30.50, 2915.00, 2904, 2925, 5.12
300 4 15, 28.33, 3189.70, 3177, 3201, 5.49
350 4 15, 35.98, 3778.50, 3762, 3786, 5.93
400 4 15, 79.43, 4226.00, 4215, 4236, 5.58
450 4 15, 120.30, 5021.70, 5007, 5040, 7.36
500 4 15, 160.50, 5098.60, 5082, 5112, 7.62
100 4 20, 9.15, 834.70, 828, 840, 3.11
150 4 20, 17.70, 1530.60, 1524, 1539, 3.37
200 4 20, 27.22, 1692.80, 1683, 1698, 4.85
250 4 20, 41.86, 2114.60, 2106, 2124, 5.26
300 4 20, 39.04, 2405.30, 2394, 2421, 6.85
350 4 20, 50.88, 2856.40, 2847, 2874, 6.48
400 4 20, 114.53, 3215.70, 3201, 3231, 7.06
450 4 20, 175.92, 3465.00, 3441, 3480, 8.98
500 4 20, 238.34, 3943.70, 3933, 3954, 5.43
