seed, runtime(s), ecmin
1, 243.08, 3243
2, 262.94, 3246
3, 340.63, 3243
4, 348.17, 3240
5, 350.56, 3240
6, 339.60, 3252
7, 312.00, 3246
8, 336.35, 3243
9, 286.28, 3249
10, 319.07, 3261
11, 293.97, 3246
12, 302.15, 3249
13, 324.00, 3249
14, 252.88, 3237
15, 235.21, 3237
16, 210.75, 3249
17, 160.07, 3240
18, 170.28, 3255
19, 157.63, 3231
20, 154.82, 3252
21, 140.80, 3240
22, 133.72, 3246
23, 121.73, 3240
24, 124.17, 3246
25, 168.41, 3258
26, 167.36, 3243
27, 161.27, 3237
28, 172.19, 3243
29, 142.21, 3240
30, 143.51, 3246
