seed, runtime(s), ecmin
1, 139.38, 5025
2, 133.62, 5025
3, 128.28, 5025
4, 120.51, 5040
5, 123.08, 5007
6, 127.24, 5025
7, 125.23, 5031
8, 137.54, 5013
9, 136.25, 5019
10, 137.52, 5025
11, 134.36, 5025
12, 123.51, 5031
13, 126.95, 5013
14, 126.06, 5025
15, 113.56, 5019
16, 101.14, 5025
17, 103.11, 5019
18, 79.90, 5028
19, 76.15, 5013
20, 75.34, 5028
21, 101.14, 5019
22, 133.32, 5019
23, 126.55, 5016
24, 124.87, 5025
25, 125.36, 5013
26, 120.73, 5013
27, 126.76, 5016
28, 128.87, 5034
29, 125.85, 5016
30, 127.09, 5019
