seed, runtime(s), ecmin
1, 171.77, 3252
2, 272.65, 3234
3, 283.17, 3240
4, 280.41, 3243
5, 282.36, 3243
6, 262.69, 3252
7, 247.60, 3264
8, 242.55, 3246
9, 237.13, 3246
10, 242.14, 3243
11, 246.44, 3246
12, 242.58, 3255
13, 298.63, 3243
14, 305.18, 3237
15, 279.94, 3240
16, 303.98, 3252
17, 268.91, 3243
18, 260.44, 3252
19, 294.11, 3240
20, 253.93, 3243
21, 271.86, 3246
22, 275.76, 3258
23, 273.06, 3252
24, 273.86, 3240
25, 276.66, 3237
26, 262.05, 3243
27, 256.97, 3249
28, 254.50, 3243
29, 257.27, 3246
30, 251.65, 3246
