Input, avgRuntime, ecmin, best, worst, std
100 4 10, 4.29 1046.60 1041 1050 .2300
100 4 15, 4.34 855.60 849 858 .3000
100 4 20, 5.22 710.50 705 714 .3800
150 4 10, 6.55 1568.50 1557 1581 .3300
150 4 15, 7.89 1545.70 1542 1551 .1500
150 4 20, 11.46 897.40 891 906 .5300
200 4 10, 11.75 2048.30 2040 2061 .3200
200 4 15, 13.14 1697.40 1689 1701 .1800
200 4 20, 18.61 1403.00 1398 1410 .2400
250 4 10, 13.92 2956.50 2949 2970 .1700
250 4 15, 17.57 2181.60 2169 2187 .2200
250 4 20, 26.50 1699.20 1689 1707 .2900
300 4 10, 18.28 3341.00 3336 3348 .0900
300 4 15, 23.21 2597.30 2589 2604 .1300
300 4 20, 34.18 2040.40 2028 2049 .2800
350 4 10, 22.05 3900.20 3888 3912 .1700
350 4 15, 31.61 2818.30 2811 2823 .1100
350 4 20, 45.02 2258.30 2250 2265 .1600
400 4 10, 29.50 4549.70 4533 4566 .1700
400 4 15, 36.72 3447.60 3441 3453 .1000
400 4 20, 57.02 2554.00 2544 2559 .1400
450 4 10, 32.17 5359.60 5352 5367 .0600
450 4 15, 46.20 3913.50 3894 3927 .2100
500 4 10, 38.03 6282.70 6270 6294 .0900
500 4 15, 58.38 4359.60 4356 4362 .0500
500 4 20, 81.71 3251.80 3243 3258 .1200
