Input, avgRuntime, ecmin, best, worst, std
100 4 10, 4.54 856.30 852 861 .3000
100 4 15, 4.33 1079.80 1077 1080 .0600
100 4 20, 4.68 846.40 840 849 .3100
150 4 10, 8.16 1578.50 1569 1587 .2500
150 4 15, 6.09 2380.50 2376 2385 .1100
150 4 20, 8.63 1543.30 1536 1551 .2200
200 4 10, 11.44 2481.20 2475 2490 .1600
200 4 15, 10.07 2529.30 2520 2541 .1900
200 4 20, 12.98 1709.50 1701 1716 .1900
250 4 10, 10.32 8140.40 8127 8151 .0600
250 4 15, 14.14 2957.70 2943 2973 .2300
250 4 20, 18.67 2120.40 2115 2127 .1300
300 4 10, 14.49 5476.70 5469 5487 .0700
300 4 15, 19.32 3219.40 3213 3225 .1000
300 4 20, 25.89 2435.70 2421 2442 .2000
350 4 10, 16.13 6235.80 6225 6249 .1000
350 4 15, 25.24 3823.20 3810 3837 .1500
350 4 20, 32.64 2889.50 2877 2898 .1900
400 4 10, 21.05 7329.90 7320 7338 .0500
400 4 15, 30.54 4258.80 4245 4269 .1400
400 4 20, 41.60 3257.50 3246 3270 .1900
450 4 10, 26.32 7739.80 7725 7758 .1100
450 4 15, 38.15 5056.80 5043 5070 .1500
450 4 20, 51.88 3470.60 3462 3477 .1100
500 4 10, 29.87 8335.20 8325 8343 .0500
500 4 15, 45.92 5142.00 5133 5151 .0900
500 4 20, 64.32 3966.60 3951 3975 .1100
