Input, avgRuntime, mecmin, best, worst, std
100 4 10, 4.72 59.00 59 59 0
100 4 15, 4.86 39.20 39 41 1.5300
100 4 20, 5.25 25.56 23 29 5.8600
150 4 10, 7.41 52.03 50 54 2.2600
150 4 15, 7.61 44.80 44 50 3.4800
150 4 20, 11.07 15.96 15 18 7.2000
200 4 10, 12.16 66.20 59 75 5.3400
200 4 15, 12.91 36.06 33 38 4.0200
200 4 20, 16.74 23.80 23 26 5.2900
250 4 10, 15.02 57.03 50 65 5.6800
250 4 15, 18.44 34.86 32 39 5.0700
250 4 20, 24.50 22.70 21 25 5.2800
300 4 10, 19.99 81.80 74 90 4.0300
300 4 15, 23.47 35.70 32 37 3.2700
300 4 20, 30.68 23.53 21 25 3.6500
350 4 10, 24.06 55.90 50 62 6.6100
350 4 15, 32.52 34.16 32 36 3.0400
350 4 20, 41.09 23.03 22 24 1.3400
400 4 10, 31.41 82.63 75 88 4.1000
400 4 15, 39.80 37.50 35 40 3.8100
400 4 20, 55.63 19.70 18 20 2.6300
450 4 10, 33.46 73.00 65 80 5.0500
450 4 15, 48.33 41.90 38 48 5.5300
450 4 20, 77.03 24.03 21 28 8.1100
500 4 10, 41.10 91.40 84 102 5.1600
500 4 15, 60.47 38.10 35 42 4.9300
500 4 20, 89.65 26.93 23 30 7.0900
