Input, avgRuntime, mecmin, best, worst, std
100 4 10, 4.93 30.76 29 32 3.0200
100 4 15, 3.97 44.76 43 49 3.4400
100 4 20, 4.84 42.23 38 48 6.0600
150 4 10, 8.94 56.06 48 74 9.7200
150 4 15, 6.47 89.60 80 105 11.1200
150 4 20, 9.76 66.33 57 71 5.1500
200 4 10, 12.93 126.80 101 180 11.3800
200 4 15, 10.51 77.86 69 87 4.4900
200 4 20, 15.17 43.33 41 45 2.9700
250 4 10, 11.34 283.73 266 407 11.2200
250 4 15, 15.69 77.33 71 84 4.6000
250 4 20, 21.87 41.40 38 48 6.0600
300 4 10, 15.86 145.40 134 158 3.9400
300 4 15, 20.77 69.40 65 77 3.9100
300 4 20, 29.96 46.36 42 49 3.6400
350 4 10, 18.72 176.96 167 185 2.5000
350 4 15, 30.10 80.76 65 92 7.2300
350 4 20, 36.19 49.33 45 56 4.5800
400 4 10, 22.66 238.06 223 263 4.4700
400 4 15, 36.36 85.70 76 98 5.9800
400 4 20, 48.77 46.26 41 53 6.0900
450 4 10, 28.32 196.30 147 234 13.1800
450 4 15, 42.33 97.06 86 100 2.5000
450 4 20, 52.41 35.06 34 36 1.0200
500 4 10, 31.94 212.80 181 231 6.0800
500 4 15, 50.10 63.00 62 66 1.0900
500 4 20, 65.88 48.26 45 50 2.7500
