Input, avgRuntime, ecmin, best, worst, std
100 4 10, 3.74 1045.70 1041 1050 .2300
100 4 15, 4.60 854.70 849 858 .2900
100 4 20, 4.87 705.50 702 711 .3100
150 4 10, 6.10 1563.00 1557 1569 .2200
150 4 15, 6.60 1543.60 1539 1548 .1800
150 4 20, 9.96 897.70 888 906 .5000
200 4 10, 10.52 2044.10 2034 2052 .2900
200 4 15, 12.77 1703.00 1695 1710 .2100
200 4 20, 15.75 1403.40 1389 1410 .3200
250 4 10, 13.82 2948.80 2940 2955 .1500
250 4 15, 17.81 2192.30 2172 2205 .2900
250 4 20, 24.52 1691.50 1683 1701 .2700
300 4 10, 19.23 3338.30 3327 3354 .2200
300 4 15, 22.08 2593.20 2574 2604 .2900
350 4 10, 22.86 3901.10 3888 3912 .1500
350 4 15, 31.31 2825.10 2811 2841 .2400
350 4 20, 40.16 2277.70 2268 2289 .2600
400 4 10, 29.91 4537.60 4524 4554 .1500
400 4 15, 37.79 3458.40 3438 3471 .2200
400 4 20, 71.12 2573.70 2556 2586 .2400
450 4 10, 32.81 5343.50 5328 5358 .1400
450 4 15, 45.78 3907.00 3891 3921 .1900
450 4 20, 93.75 2936.90 2925 2952 .2100
500 4 10, 40.44 6280.10 6261 6294 .1200
500 4 15, 56.69 4396.80 4380 4410 .1500
500 4 20, 111.25 3272.80 3258 3279 .1600
