Input, avgRuntime, ecmin, best, worst, std
100 4 10, 4.03 855.50 846 861 .3700
100 4 15, 3.59 1077.80 1077 1080 .1200
100 4 20, 4.39 839.10 834 843 .2900
150 4 10, 7.47 1577.90 1569 1584 .2600
150 4 15, 5.61 2380.10 2376 2382 .0900
150 4 20, 8.35 1540.00 1533 1548 .2900
200 4 10, 10.77 2471.00 2460 2478 .1800
200 4 15, 9.08 2533.40 2520 2541 .1800
200 4 20, 13.41 1712.50 1701 1719 .2600
250 4 10, 9.58 8137.90 8133 8145 .0400
250 4 15, 13.98 2942.80 2928 2952 .2100
250 4 20, 19.65 2139.20 2130 2151 .2400
300 4 10, 14.08 5473.40 5463 5484 .1000
300 4 15, 18.69 3213.50 3198 3225 .1700
300 4 20, 27.46 2432.10 2418 2442 .2300
350 4 10, 17.27 6228.50 6216 6240 .0900
350 4 15, 24.61 3813.70 3798 3825 .1600
350 4 20, 35.38 2885.60 2868 2898 .2200
400 4 10, 21.20 7321.30 7299 7335 .1000
400 4 15, 30.39 4259.00 4248 4269 .1200
400 4 20, 47.17 3251.60 3240 3261 .1500
450 4 10, 26.47 7724.00 7707 7740 .1000
450 4 15, 38.68 5058.80 5043 5073 .1400
450 4 20, 60.69 3493.40 3474 3504 .2100
500 4 10, 31.15 8338.40 8325 8352 .0800
500 4 15, 47.75 5131.00 5115 5145 .1300
500 4 20, 70.60 3969.20 3951 3984 .1800
