Seed, Runtime(s), ecmin
1, 121.29, 3276
2, 129.59, 3276
3, 120.40, 3267
4, 120.71, 3267
5, 126.13, 3264
6, 127.87, 3279
8, 127.02, 3273
7, 129.37, 3279
10, 117.74, 3276
9, 122.00, 3279
12, 102.89, 3276
11, 105.97, 3273
13, 95.72, 3270
14, 101.87, 3267
16, 97.82, 3279
15, 106.49, 3270
17, 102.94, 3273
18, 113.27, 3276
19, 103.02, 3258
20, 105.91, 3273
21, 111.54, 3279
22, 116.74, 3279
23, 95.92, 3273
24, 98.19, 3267
25, 109.66, 3279
26, 109.88, 3273
28, 98.75, 3273
27, 103.38, 3273
30, 101.24, 3267
29, 114.46, 3270
