Input, avgRuntime, mecmin, best, worst, std
100 4 10, 4.35 59.06 59 60 .4000
100 4 15, 4.83 39.00 39 39 0
100 4 20, 5.55 25.83 23 29 4.2900
150 4 10, 6.99 52.23 51 54 2.1600
150 4 15, 8.29 46.10 44 50 4.1200
150 4 20, 10.76 15.93 15 20 8.9700
200 4 10, 11.51 67.06 61 72 4.3300
200 4 15, 14.75 35.70 33 38 4.6400
200 4 20, 17.09 23.30 23 26 3.3900
250 4 10, 14.13 57.36 54 62 4.1100
250 4 15, 20.86 34.96 29 38 5.1400
250 4 20, 25.36 22.36 20 24 4.7400
300 4 10, 18.61 82.63 78 90 4.3000
300 4 15, 24.46 35.86 33 38 3.5400
300 4 20, 32.91 23.90 21 27 3.9700
350 4 10, 22.38 55.90 50 66 7.2800
350 4 15, 34.80 33.70 30 35 3.8800
350 4 20, 48.20 23.10 22 24 1.7300
400 4 10, 30.08 81.96 74 89 4.3000
400 4 15, 40.93 36.70 33 41 4.0800
400 4 20, 63.22 19.53 19 20 2.5600
450 4 10, 31.88 72.96 66 81 6.0900
450 4 15, 46.88 41.93 38 47 5.5800
450 4 20, 78.61 24.26 22 27 6.1000
500 4 10, 38.15 90.56 84 102 5.6400
500 4 15, 54.64 38.13 33 43 5.6600
500 4 20, 93.22 25.93 23 30 7.3600
