Input, avgRuntime, mecmin, best, worst, std
100 4 10, 4.61 30.83 28 32 3.5000
100 4 15, 4.10 46.00 44 50 4.0600
100 4 20, 5.22 40.96 36 48 7.4900
150 4 10, 8.56 56.56 45 74 8.5900
150 4 15, 6.66 93.80 80 144 16.5000
150 4 20, 9.93 66.60 59 72 4.7700
200 4 10, 12.20 133.23 107 165 10.3200
200 4 15, 11.00 77.76 66 90 5.8600
200 4 20, 14.65 43.16 38 48 4.4900
250 4 10, 10.97 271.76 266 293 2.6700
250 4 15, 16.69 76.83 72 81 3.3000
250 4 20, 23.10 42.23 38 47 6.2200
300 4 10, 15.29 145.33 137 155 3.0700
300 4 15, 23.07 70.66 60 77 6.3900
300 4 20, 31.25 46.90 44 50 2.7500
350 4 10, 17.81 176.60 170 189 2.5900
350 4 15, 27.79 81.30 68 89 6.8300
350 4 20, 37.55 51.00 43 57 6.7800
400 4 10, 21.79 246.50 224 300 7.3600
400 4 15, 36.53 84.43 74 98 7.1400
400 4 20, 47.82 47.23 42 50 4.8200
450 4 10, 26.98 205.53 162 234 10.8200
450 4 15, 42.81 96.03 87 101 3.2200
450 4 20, 58.55 34.63 33 37 3.1400
500 4 10, 31.50 210.60 181 237 6.5800
500 4 15, 50.71 63.16 62 64 .9300
500 4 20, 80.07 47.86 43 51 3.6900
