Input, avgRuntime, ecmin, best, worst, std
100 4 10, 5.37, 1091.90, 1086, 1098, 2.89
110 4 10, 6.25, 942.50, 939, 948, 2.37
120 4 10, 6.16, 1277.80, 1275, 1284, 2.83
130 4 10, 8.50, 1021.00, 1017, 1026, 2.40
140 4 10, 7.00, 2069.90, 2067, 2076, 2.78
150 4 10, 9.43, 1573.70, 1569, 1581, 3.31
160 4 10, 9.86, 1510.00, 1506, 1518, 3.27
170 4 10, 9.92, 1918.30, 1911, 1926, 3.99
180 4 10, 12.77, 1477.60, 1470, 1485, 3.31
190 4 10, 11.63, 2483.10, 2478, 2496, 3.87
100 4 15, 4.90, 997.10, 990, 1002, 3.19
110 4 15, 6.35, 907.00, 897, 912, 3.18
120 4 15, 6.63, 920.40, 912, 927, 3.81
130 4 15, 7.06, 1122.50, 1110, 1131, 6.40
140 4 15, 8.92, 1292.00, 1287, 1296, 2.87
150 4 15, 9.45, 1375.60, 1365, 1386, 5.08
160 4 15, 11.49, 1384.40, 1374, 1395, 4.64
170 4 15, 11.60, 1346.00, 1335, 1356, 4.54
180 4 15, 13.08, 1507.30, 1497, 1521, 5.60
190 4 15, 14.55, 1754.60, 1746, 1764, 4.36
100 4 20, 6.04, 647.70, 642, 651, 2.40
110 4 20, 7.78, 793.10, 786, 798, 3.10
120 4 20, 8.55, 812.90, 804, 822, 3.97
130 4 20, 10.06, 981.30, 972, 987, 3.96
140 4 20, 10.89, 910.10, 900, 915, 3.97
150 4 20, 12.17, 1040.00, 1032, 1044, 3.37
160 4 20, 14.91, 1099.70, 1089, 1110, 4.06
170 4 20, 16.07, 1116.20, 1104, 1122, 4.01
180 4 20, 18.33, 1229.60, 1218, 1236, 4.70
190 4 20, 18.85, 1238.10, 1227, 1245, 4.46
