Input, avgRuntime, ecmin, best, worst, std
100 4 10, 6.44, 691.10, 687, 696, 2.42
110 4 10, 7.74, 863.60, 858, 870, 3.02
120 4 10, 8.68, 811.40, 807, 819, 2.58
130 4 10, 10.57, 870.30, 864, 876, 3.28
140 4 10, 11.77, 943.60, 939, 951, 2.81
150 4 10, 12.95, 1047.30, 1038, 1053, 4.04
160 4 10, 15.65, 1082.80, 1077, 1089, 3.24
170 4 10, 17.58, 1106.00, 1095, 1113, 3.80
180 4 10, 22.46, 1169.60, 1164, 1182, 4.50
190 4 10, 22.46, 1280.50, 1275, 1287, 4.02
100 4 15, 9.85, 512.80, 510, 516, 1.74
110 4 15, 11.25, 544.50, 540, 549, 2.92
120 4 15, 13.28, 577.70, 570, 585, 3.11
130 4 15, 14.62, 640.60, 636, 645, 2.45
140 4 15, 17.62, 689.20, 684, 693, 2.35
150 4 15, 20.53, 762.80, 759, 765, 2.07
160 4 15, 24.10, 799.70, 795, 804, 2.69
170 4 15, 26.66, 810.30, 804, 816, 2.87
180 4 15, 34.49, 886.70, 882, 891, 3.11
190 4 15, 35.54, 957.10, 951, 960, 3.10
100 4 20, 12.69, 414.80, 408, 420, 3.14
110 4 20, 14.75, 478.60, 474, 480, 1.71
120 4 20, 16.80, 480.10, 477, 483, 2.00
130 4 20, 21.50, 551.70, 549, 555, 1.64
140 4 20, 23.08, 623.80, 618, 630, 2.72
150 4 20, 28.27, 618.90, 612, 624, 2.74
160 4 20, 32.10, 695.20, 690, 702, 2.93
170 4 20, 38.57, 691.40, 687, 699, 2.91
180 4 20, 51.68, 762.20, 762, 765, .75
190 4 20, 50.01, 822.00, 816, 828, 3.34
