Input, avgRuntime, ecmin, best, worst, std
100 4 10, 5.58, 1092.00, 1086, 1098, 2.83
110 4 10, 6.29, 944.10, 939, 951, 2.85
120 4 10, 8.37, 1278.80, 1272, 1284, 3.24
130 4 10, 10.89, 1021.70, 1017, 1026, 2.18
140 4 10, 9.48, 2071.50, 2067, 2076, 3.12
150 4 10, 11.99, 1574.00, 1566, 1584, 4.04
160 4 10, 13.35, 1510.70, 1503, 1518, 3.91
170 4 10, 12.71, 1918.30, 1908, 1926, 4.70
180 4 10, 16.25, 1477.10, 1470, 1485, 3.56
190 4 10, 15.98, 2482.90, 2475, 2490, 3.81
100 4 15, 4.93, 997.40, 990, 1005, 3.58
110 4 15, 6.84, 907.20, 900, 912, 3.74
120 4 15, 8.92, 919.40, 912, 930, 3.83
130 4 15, 9.46, 1123.00, 1107, 1131, 5.80
140 4 15, 10.71, 1294.10, 1287, 1299, 2.99
150 4 15, 12.43, 1376.50, 1368, 1386, 4.39
160 4 15, 14.32, 1383.70, 1371, 1395, 5.55
170 4 15, 14.75, 1347.80, 1341, 1356, 4.16
180 4 15, 16.77, 1507.40, 1494, 1521, 5.82
190 4 15, 18.95, 1755.20, 1749, 1767, 3.85
100 4 20, 6.27, 648.40, 645, 651, 2.19
110 4 20, 7.93, 793.40, 786, 801, 3.67
120 4 20, 10.71, 814.00, 810, 822, 2.87
130 4 20, 12.70, 979.40, 969, 987, 4.07
140 4 20, 13.16, 910.70, 903, 915, 3.49
150 4 20, 15.45, 1040.00, 1035, 1047, 2.87
160 4 20, 17.67, 1100.70, 1092, 1107, 3.55
170 4 20, 19.09, 1117.50, 1110, 1128, 4.64
180 4 20, 22.79, 1232.70, 1224, 1242, 4.41
190 4 20, 22.81, 1237.40, 1227, 1251, 4.36
