Input, avgRuntime, ecmin, best, worst, std
100 4 10, 6.46, 691.40, 687, 696, 2.58
110 4 10, 7.42, 863.20, 855, 870, 4.23
120 4 10, 8.43, 813.30, 807, 825, 3.72
130 4 10, 10.34, 871.50, 867, 879, 3.22
140 4 10, 11.34, 944.30, 939, 948, 2.45
150 4 10, 12.66, 1048.80, 1041, 1056, 3.90
160 4 10, 14.19, 1083.20, 1074, 1089, 3.33
170 4 10, 16.07, 1107.20, 1098, 1119, 5.56
180 4 10, 18.13, 1170.60, 1164, 1179, 3.72
190 4 10, 20.66, 1281.70, 1275, 1287, 3.58
100 4 15, 9.85, 513.00, 510, 516, 1.57
110 4 15, 10.99, 543.90, 540, 549, 2.96
120 4 15, 12.75, 576.80, 570, 582, 2.83
130 4 15, 14.62, 640.90, 633, 648, 3.10
140 4 15, 17.24, 690.70, 684, 693, 2.45
150 4 15, 19.51, 762.70, 759, 765, 1.87
160 4 15, 21.90, 800.10, 792, 804, 3.16
170 4 15, 25.26, 811.10, 807, 819, 3.19
180 4 15, 27.59, 888.60, 885, 894, 2.98
190 4 15, 31.95, 958.20, 951, 966, 3.74
100 4 20, 12.69, 414.30, 411, 420, 2.13
110 4 20, 14.50, 480.40, 477, 486, 2.32
120 4 20, 16.90, 480.50, 474, 483, 2.50
130 4 20, 21.93, 552.50, 549, 555, 1.94
140 4 20, 22.53, 624.80, 621, 630, 2.72
150 4 20, 27.15, 620.40, 615, 630, 3.18
160 4 20, 31.02, 696.00, 690, 702, 2.72
170 4 20, 35.36, 691.80, 687, 702, 3.20
180 4 20, 42.15, 762.40, 762, 765, 1.03
190 4 20, 42.57, 823.30, 819, 831, 3.11
